new_region;old_region
Auvergne-Rhône-Alpes ;Auvergne
Auvergne-Rhône-Alpes ;Rhône Alpes
Bourgogne-Franche-Comté ;Bourgogne
Bourgogne-Franche-Comté ;Franche Comté
Bretagne;Bretagne
Centre ;Centre Val-de-Loire
Grand Est;Alsace
Grand Est;Champagne Ardenne
Grand Est;Lorraine
Hauts-de-France;Nord Pas de Calais
Hauts-de-France;Picardie
Normandie;Basse Normandie
Normandie;Haute Normandie
Nouvelle Aquitaine ;Aquitaine
Nouvelle Aquitaine ;Limousin
Nouvelle Aquitaine ;Poitou Charentes
Occitanie;Languedoc Roussillon
Occitanie;Midi Pyrénées
Pays de la Loire;Pays-de-la-Loire
Provence-Alpes-Côte d'Azur;Provence Alpes Côte d'Azur
